model,vintage,sample,n_quarters,rmse,mae,bias,dm_stat,dm_pval,dm_mean_diff
midas_combination,1,full,85,5.210032098056815,2.383233906007256,-0.1924048145078936,1.250995361441436,0.21093616978428964,39.50876720634763
midas_combination,1,pre_covid,60,2.105976961269239,1.502855449834684,-0.4367523988521296,1.6602235820210676,0.09686948227251646,1.6517790451334926
midas_combination,1,ex_covid,79,2.148181472317111,1.5789195381683503,-0.3935017245826993,1.298928594029005,0.1939684356157908,5.658321434641846
midas_combination,2,full,85,5.0283039300002725,2.09326459944791,0.20343186084664028,1.3041421113054437,0.19218513303935347,41.369361256673734
midas_combination,2,pre_covid,60,1.9291541432425938,1.4734431005128372,-0.519484250511359,1.6783501034404351,0.09327877224964722,2.3652822981402446
midas_combination,2,ex_covid,79,1.8544797169107892,1.4406112724484648,-0.3846885868848383,1.4590047195511262,0.14456380871154206,6.833910052214837
midas_combination,3,full,85,6.272946979006167,2.483573506987078,-0.2606157795866413,1.3265889916787739,0.1846446793212484,27.30333786770735
midas_combination,3,pre_covid,60,1.9270110637277533,1.4399332422295081,-0.5664630862657211,1.699776806919015,0.08917291568904928,2.373546366801144
midas_combination,3,ex_covid,79,1.8764621452819377,1.4259783212263026,-0.45325284641164415,1.4643685954094539,0.1430932639927464,6.7518948899722675
midas_DGORDER,1,full,85,6.412455187140703,3.4005782595166942,-0.6477308659409887,1.0259388454094343,0.3049204109071073,25.53362014204223
midas_DGORDER,1,pre_covid,60,3.2296588119370595,2.390115235028185,-1.0262042387173276,-2.380783998686137,0.01727583859453117,-4.343778034992387
midas_DGORDER,1,ex_covid,79,3.362493368487022,2.524036872381626,-1.0185313148999162,-0.21387215082243494,0.830646758168774,-1.0333565804708416
midas_DGORDER,2,full,85,6.517374626363348,3.650018689678575,0.331245794770763,0.9069040423631884,0.3644575433149574,24.17702964876514
midas_DGORDER,2,pre_covid,60,3.9628144047810605,2.909204631176274,-0.22128130719230088,-2.782977324976805,0.005386257037567367,-9.616980000209963
midas_DGORDER,2,ex_covid,79,3.784483531658622,2.820672246891504,0.027153455406274004,-0.6919773013770845,0.4889515837201155,-4.049310528746962
midas_DGORDER,3,full,85,6.639848092351169,2.904678996381991,-0.006974828721660429,1.2233412109230017,0.22120084792204608,22.56561897963047
midas_DGORDER,3,pre_covid,60,2.4966364586284824,1.8646115993577694,-0.33638159238986315,-0.06835709961834904,0.9455013714552004,-0.14627560002265982
midas_DGORDER,3,ex_covid,79,2.417929032498299,1.8294684109002077,-0.20433486606183962,0.903101269376216,0.3664721503746128,4.426624266450198
midas_HOUST,1,full,85,6.64439360672663,3.456763277590784,0.04631769952710282,1.035740416091535,0.3003232617063786,22.50523526802021
midas_HOUST,1,pre_covid,60,3.030244334383563,2.464910093318851,-0.3686182155396505,-2.8685766509956334,0.004123232769991206,-3.0954627195333755
midas_HOUST,1,ex_covid,79,3.2326340439375367,2.5431389630935466,-0.1161040527912131,-0.03501999755647695,0.9720637949083974,-0.176917789375594
midas_HOUST,2,full,85,6.4681555232640555,3.216498186047753,0.09500840332763401,1.1130998931891471,0.2656655295646483,24.816165795998625
midas_HOUST,2,pre_covid,60,3.1915880321961447,2.3820727605254404,-0.5442230062717875,-1.897804064193894,0.05772189764654398,-4.09931616072735
midas_HOUST,2,ex_covid,79,2.992726921861345,2.2397975187057386,-0.30907958628193,0.2756350371960876,0.7828283959391046,1.316590643814676
midas_HOUST,3,full,85,6.668518945375393,2.721665474946877,0.010329622395426424,1.3632459240317885,0.17280501826207384,22.184056744299394
midas_HOUST,3,pre_covid,60,2.2121811551276824,1.631720809213644,-0.5135613409257193,0.9797596482504011,0.3272047748138601,1.1931725434282632
midas_HOUST,3,ex_covid,79,2.115000185404744,1.5945309510244075,-0.34230683309279153,1.2802759800549397,0.20044809228472327,5.799779288386256
midas_ICSA,1,full,85,7.413814187782158,4.9029489616913535,0.7215408713323936,0.4607973871512891,0.6449439765031756,11.688560858169911
midas_ICSA,1,pre_covid,60,5.405833682862156,4.529631948608772,0.2927036013358831,-5.665285220407162,1.4678017550891476e-08,-23.136119800236713
midas_ICSA,1,ex_covid,79,5.125624637072095,4.335539574717399,0.20561524259371863,-2.7223833570820775,0.006481290894338724,-15.999022847512078
midas_ICSA,2,full,85,8.237449903150566,5.442327380790644,0.07464062950511993,-0.08273600882544252,0.934061452112442,-1.2023792377853406
midas_ICSA,2,pre_covid,60,5.5007970789734575,4.940892814495781,-0.6787843277977462,-6.324680553788738,2.537569862307023e-10,-24.171850497512608
midas_ICSA,2,ex_covid,79,5.078492188949428,4.511451087555411,-0.4290531028093963,-2.405137952187881,0.016166361826151786,-15.518077840571996
midas_ICSA,3,full,85,7.658341666139551,3.6652740037893197,-0.5092068958186808,0.8241906215650519,0.4098312550283889,8.003004593800823
midas_ICSA,3,pre_covid,60,3.419700491040475,2.9634344969872974,-1.0922857217631248,-2.5588253864280066,0.010502648023472099,-5.607433441892159
midas_ICSA,3,ex_covid,79,3.1150473092177227,2.597508335704275,-0.8810497047476021,0.1111686570147512,0.9114826056201151,0.5694853339837841
midas_INDPRO,1,full,85,4.156067960366411,2.5690054688488875,-0.077313352771437,1.1016951737130787,0.27059421587585275,49.38030077794572
midas_INDPRO,1,pre_covid,60,2.404690614757919,1.7893187353206352,0.023772262476748417,0.1497736548989221,0.8809431952175804,0.30438105382549396
midas_INDPRO,1,ex_covid,79,2.9160011410284383,2.0335200722441042,0.20663345652603374,0.4620735912691101,0.6440285476415983,1.7699424181692052
midas_INDPRO,2,full,85,3.5326608947629046,2.421714268030091,0.36684257397576525,1.1254938680809432,0.26037981418412137,54.17350867174289
midas_INDPRO,2,pre_covid,60,2.940499440792559,2.15863630661399,-0.19424384496404337,-1.5872133369744372,0.11246433514492056,-2.559618954771042
midas_INDPRO,2,ex_covid,79,2.8406545256045503,2.07468925649998,0.007325465252716053,0.43558307319792045,0.66313925404515,2.2036869388107423
